y,ds
29,2018-01-01
26,2018-01-02
27,2018-01-03
23,2018-01-04
26,2018-01-05
25,2018-01-06
25,2018-01-07
27,2018-01-08
27,2018-01-09
27,2018-01-10
29,2018-01-11
27,2018-01-12
28,2018-01-13
33,2018-01-14
22,2018-01-15
22,2018-01-16
22,2018-01-17
23,2018-01-18
23,2018-01-19
23,2018-01-20
25,2018-01-21
27,2018-01-22
26,2018-01-23
25,2018-01-24
29,2018-01-25
29,2018-01-26
30,2018-01-27
28,2018-01-28
27,2018-01-29
27,2018-01-30
28,2018-01-31
22,2018-02-01
52,2018-02-02
50,2018-02-03
22,2018-02-04
22,2018-02-05
22,2018-02-06
22,2018-02-07
22,2018-02-08
23,2018-02-09
25,2018-02-10
23,2018-02-11
26,2018-02-12
23,2018-02-13
27,2018-02-14
30,2018-02-15
30,2018-02-16
29,2018-02-17
29,2018-02-18
26,2018-02-19
27,2018-02-20
25,2018-02-21
51,2018-02-22
36,2018-02-23
23,2018-02-24
27,2018-02-25
25,2018-02-26
25,2018-02-27
23,2018-02-28
27,2018-03-01
27,2018-03-02
27,2018-03-03
30,2018-03-04
47,2018-03-05
20,2018-03-06
20,2018-03-07
22,2018-03-08
22,2018-03-09
21,2018-03-10
20,2018-03-11
22,2018-03-12
22,2018-03-13
23,2018-03-14
23,2018-03-15
23,2018-03-16
25,2018-03-17
25,2018-03-18
26,2018-03-19
26,2018-03-20
50,2018-03-21
21,2018-03-22
23,2018-03-23
25,2018-03-24
22,2018-03-25
25,2018-03-26
49,2018-03-27
27,2018-03-28
23,2018-03-29
25,2018-03-30
25,2018-03-31
23,2018-04-01
25,2018-04-02
23,2018-04-03
21,2018-04-04
22,2018-04-05
22,2018-04-06
22,2018-04-07
22,2018-04-08
22,2018-04-09
22,2018-04-10
22,2018-04-11
23,2018-04-12
22,2018-04-13
22,2018-04-14
23,2018-04-15
22,2018-04-16
22,2018-04-17
52,2018-04-18
21,2018-04-19
21,2018-04-20
21,2018-04-21
21,2018-04-22
21,2018-04-23
21,2018-04-24
21,2018-04-25
22,2018-04-26
22,2018-04-27
51,2018-04-28
51,2018-04-29
51,2018-04-30
53,2018-05-01
21,2018-05-02
53,2018-05-03
21,2018-05-04
21,2018-05-05
53,2018-05-06
51,2018-05-07
52,2018-05-08
22,2018-05-09
51,2018-05-10
50,2018-05-11
49,2018-05-12
47,2018-05-13
49,2018-05-14
49,2018-05-15
49,2018-05-16
49,2018-05-17
50,2018-05-18
49,2018-05-19
50,2018-05-20
47,2018-05-21
47,2018-05-22
49,2018-05-23
50,2018-05-24
50,2018-05-25
50,2018-05-26
50,2018-05-27
47,2018-05-28
50,2018-05-29
50,2018-05-30
45,2018-05-31
45,2018-06-01
45,2018-06-02
49,2018-06-03
47,2018-06-04
47,2018-06-05
47,2018-06-06
47,2018-06-07
48,2018-06-08
50,2018-06-09
49,2018-06-10
47,2018-06-11
45,2018-06-12
49,2018-06-13
50,2018-06-14
49,2018-06-15
45,2018-06-16
45,2018-06-17
43,2018-06-18
43,2018-06-19
43,2018-06-20
45,2018-06-21
47,2018-06-22
45,2018-06-23
45,2018-06-24
47,2018-06-25
49,2018-06-26
47,2018-06-27
49,2018-06-28
43,2018-06-29
47,2018-06-30
50,2018-07-01
50,2018-07-02
49,2018-07-03
50,2018-07-04
49,2018-07-05
52,2018-07-06
57,2018-07-07
49,2018-07-08
46,2018-07-09
49,2018-07-10
45,2018-07-11
49,2018-07-12
45,2018-07-13
42,2018-07-14
42,2018-07-15
45,2018-07-16
43,2018-07-17
43,2018-07-18
42,2018-07-19
47,2018-07-20
42,2018-07-21
43,2018-07-22
45,2018-07-23
45,2018-07-24
46,2018-07-25
51,2018-07-26
47,2018-07-27
49,2018-07-28
48,2018-07-29
50,2018-07-30
45,2018-07-31
50,2018-08-01
45,2018-08-02
47,2018-08-03
49,2018-08-04
47,2018-08-05
50,2018-08-06
49,2018-08-07
43,2018-08-08
43,2018-08-09
45,2018-08-10
49,2018-08-11
50,2018-08-12
43,2018-08-13
43,2018-08-14
45,2018-08-15
